,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
0,0020201168,1610612760,SEA,Seattle,1740,Rashard Lewis,Rashard,F,,26:49,0.0,0.0,6.0,10.0,1.0,8.0,9.0,28.0,0.0,0.0,3.0,0.0
1,0020201168,1610612760,SEA,Seattle,2501,Reggie Evans,Reggie,F,,30:39,2.0,4.0,2.0,8.0,7.0,11.0,10.0,30.0,0.0,1.0,4.0,0.0
2,0020201168,1610612760,SEA,Seattle,1542,Predrag Drobnjak,Predrag,C,,25:15,0.0,5.0,0.0,0.0,6.0,6.0,7.0,26.0,0.0,0.0,4.0,0.0
3,0020201168,1610612760,SEA,Seattle,699,Brent Barry,Brent,G,,29:30,5.0,0.0,2.0,2.0,11.0,7.0,7.0,26.0,0.0,0.0,4.0,0.0
4,0020201168,1610612760,SEA,Seattle,951,Ray Allen,Ray,G,,44:48,6.0,2.0,0.0,10.0,12.0,13.0,12.0,44.0,0.0,3.0,4.0,0.0
5,0020201168,1610612760,SEA,Seattle,1563,Kevin Ollie,Kevin,,,36:49,1.0,2.0,4.0,2.0,8.0,9.0,8.0,38.0,1.0,2.0,4.0,0.0
6,0020201168,1610612760,SEA,Seattle,1916,Calvin Booth,Calvin,,,14:14,2.0,0.0,0.0,2.0,5.0,2.0,2.0,10.0,0.0,0.0,1.0,0.0
7,0020201168,1610612760,SEA,Seattle,2209,Vladimir Radmanovic,Vladimir,,,31:56,1.0,0.0,0.0,0.0,10.0,9.0,5.0,28.0,0.0,1.0,3.0,0.0
8,0020201168,1610612760,SEA,Seattle,922,Elden Campbell,Elden,,DNP - Coach's Decision,,,,,,,,,,,,,
9,0020201168,1610612760,SEA,Seattle,2218,Joseph Forte,Joseph,,DNP - Coach's Decision,,,,,,,,,,,,,
10,0020201168,1610612760,SEA,Seattle,1744,Jerome James,Jerome,,DNP - Coach's Decision,,,,,,,,,,,,,
11,0020201168,1610612760,SEA,Seattle,2436,Flip Murray,Flip,,DNP - Coach's Decision,,,,,,,,,,,,,
12,0020201168,1610612760,SEA,Seattle,958,Vitaly Potapenko,Vitaly,,DNP - Coach's Decision,,,,,,,,,,,,,
13,0020201168,1610612742,DAL,Dallas,714,Michael Finley,Michael,F,,12:17,0.0,0.0,2.0,0.0,3.0,7.0,6.0,10.0,0.0,0.0,0.0,0.0
14,0020201168,1610612742,DAL,Dallas,1717,Dirk Nowitzki,Dirk,F,,45:36,6.0,3.0,0.0,14.0,17.0,13.0,12.0,34.0,1.0,0.0,3.0,0.0
15,0020201168,1610612742,DAL,Dallas,1711,Raef LaFrentz,Raef,C,,26:24,3.0,4.0,3.0,8.0,10.0,11.0,5.0,18.0,2.0,0.0,4.0,0.0
16,0020201168,1610612742,DAL,Dallas,1952,Raja Bell,Raja,G,,12:33,0.0,0.0,2.0,2.0,3.0,6.0,5.0,14.0,0.0,0.0,5.0,0.0
17,0020201168,1610612742,DAL,Dallas,959,Steve Nash,Steve,G,,36:56,0.0,2.0,2.0,4.0,8.0,11.0,14.0,32.0,2.0,0.0,5.0,0.0
18,0020201168,1610612742,DAL,Dallas,762,Shawn Bradley,Shawn,,,22:34,2.0,2.0,0.0,2.0,10.0,5.0,12.0,14.0,1.0,0.0,1.0,0.0
19,0020201168,1610612742,DAL,Dallas,1559,Adrian Griffin,Adrian,,,17:55,0.0,0.0,0.0,0.0,10.0,2.0,6.0,8.0,0.0,0.0,4.0,0.0
20,0020201168,1610612742,DAL,Dallas,89,Nick Van Exel,Nick,,,34:37,1.0,2.0,3.0,10.0,12.0,6.0,6.0,20.0,0.0,1.0,0.0,0.0
21,0020201168,1610612742,DAL,Dallas,2059,Eduardo Najera,Eduardo,,,22:08,0.0,0.0,0.0,6.0,6.0,4.0,4.0,10.0,0.0,0.0,0.0,0.0
22,0020201168,1610612742,DAL,Dallas,1005,Walt Williams,Walt,,,4:05,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
23,0020201168,1610612742,DAL,Dallas,1505,Tariq Abdul-Wahad,Tariq,,,4:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0
24,0020201168,1610612742,DAL,Dallas,422,Avery Johnson,Avery,,DNP - Coach's Decision,,,,,,,,,,,,,
0,0020201147,1610612742,DAL,Dallas,1559,Adrian Griffin,Adrian,F,,22:39,0.0,0.0,0.0,0.0,8.0,7.0,8.0,14.0,0.0,0.0,2.0,0.0
1,0020201147,1610612742,DAL,Dallas,1717,Dirk Nowitzki,Dirk,F,,43:04,3.0,2.0,3.0,4.0,17.0,17.0,12.0,28.0,1.0,2.0,4.0,0.0
2,0020201147,1610612742,DAL,Dallas,1711,Raef LaFrentz,Raef,C,,31:41,3.0,0.0,2.0,6.0,13.0,15.0,8.0,28.0,2.0,0.0,5.0,0.0
3,0020201147,1610612742,DAL,Dallas,959,Steve Nash,Steve,G,,39:05,2.0,0.0,7.0,4.0,15.0,11.0,8.0,22.0,0.0,0.0,4.0,0.0
4,0020201147,1610612742,DAL,Dallas,1952,Raja Bell,Raja,G,,34:01,0.0,0.0,0.0,0.0,10.0,11.0,12.0,16.0,0.0,1.0,5.0,0.0
5,0020201147,1610612742,DAL,Dallas,1505,Tariq Abdul-Wahad,Tariq,,,8:54,2.0,0.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,0.0,4.0,0.0
6,0020201147,1610612742,DAL,Dallas,89,Nick Van Exel,Nick,,,29:28,0.0,0.0,0.0,0.0,9.0,12.0,4.0,20.0,0.0,0.0,2.0,0.0
7,0020201147,1610612742,DAL,Dallas,762,Shawn Bradley,Shawn,,,7:15,0.0,0.0,0.0,0.0,4.0,4.0,2.0,4.0,0.0,0.0,2.0,0.0
8,0020201147,1610612742,DAL,Dallas,2059,Eduardo Najera,Eduardo,,,18:10,0.0,0.0,0.0,2.0,7.0,2.0,2.0,8.0,0.0,0.0,2.0,0.0
9,0020201147,1610612742,DAL,Dallas,422,Avery Johnson,Avery,,,5:44,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0
10,0020201147,1610612742,DAL,Dallas,1915,Evan Eschmeyer,Evan,,DNP - Coach's Decision,,,,,,,,,,,,,
11,0020201147,1610612742,DAL,Dallas,461,Popeye Jones,Popeye,,DNP - Coach's Decision,,,,,,,,,,,,,
12,0020201147,1610612762,UTA,Utah,1723,Matt Harpring,Matt,F,,29:21,4.0,5.0,2.0,2.0,6.0,2.0,5.0,8.0,1.0,1.0,3.0,0.0
13,0020201147,1610612762,UTA,Utah,252,Karl Malone,Karl,F,,37:05,2.0,2.0,6.0,6.0,7.0,2.0,11.0,14.0,0.0,0.0,2.0,0.0
14,0020201147,1610612762,UTA,Utah,731,Greg Ostertag,Greg,C,,34:39,0.0,4.0,0.0,6.0,10.0,2.0,8.0,12.0,1.0,0.0,3.0,0.0
15,0020201147,1610612762,UTA,Utah,304,John Stockton,John,G,,31:38,3.0,0.0,2.0,2.0,5.0,2.0,12.0,8.0,0.0,0.0,2.0,0.0
16,0020201147,1610612762,UTA,Utah,384,Calbert Cheaney,Calbert,G,,24:36,6.0,0.0,2.0,2.0,2.0,0.0,7.0,8.0,0.0,0.0,4.0,0.0
17,0020201147,1610612762,UTA,Utah,349,Mark Jackson,Mark,,,16:22,0.0,0.0,0.0,2.0,5.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0
18,0020201147,1610612762,UTA,Utah,1905,Andrei Kirilenko,Andrei,,,29:41,2.0,6.0,0.0,10.0,10.0,2.0,14.0,10.0,1.0,0.0,1.0,0.0
19,0020201147,1610612762,UTA,Utah,2052,DeShawn Stevenson,DeShawn,,,12:22,0.0,0.0,0.0,0.0,2.0,0.0,2.0,10.0,0.0,0.0,1.0,0.0
20,0020201147,1610612762,UTA,Utah,1909,Scott Padgett,Scott,,,20:10,0.0,0.0,0.0,0.0,3.0,0.0,6.0,8.0,0.0,2.0,2.0,0.0
21,0020201147,1610612762,UTA,Utah,763,Tony Massenburg,Tony,,,4:06,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0
22,0020201147,1610612762,UTA,Utah,680,John Amaechi,John,,DNP - Coach's Decision,,,,,,,,,,,,,
23,0020201147,1610612762,UTA,Utah,2306,Carlos Arroyo,Carlos,,DNP - Coach's Decision,,,,,,,,,,,,,
0,0020201133,1610612742,DAL,Dallas,1559,Adrian Griffin,Adrian,F,,2:43,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0
1,0020201133,1610612742,DAL,Dallas,1717,Dirk Nowitzki,Dirk,F,,31:40,3.0,0.0,0.0,4.0,18.0,10.0,3.0,30.0,0.0,2.0,2.0,0.0
2,0020201133,1610612742,DAL,Dallas,1711,Raef LaFrentz,Raef,C,,24:46,0.0,2.0,2.0,4.0,8.0,12.0,7.0,22.0,4.0,0.0,2.0,0.0
3,0020201133,1610612742,DAL,Dallas,959,Steve Nash,Steve,G,,27:11,2.0,0.0,0.0,2.0,13.0,9.0,6.0,28.0,0.0,3.0,0.0,0.0
4,0020201133,1610612742,DAL,Dallas,1952,Raja Bell,Raja,G,,26:17,0.0,0.0,0.0,0.0,15.0,5.0,4.0,24.0,0.0,0.0,3.0,0.0
5,0020201133,1610612742,DAL,Dallas,89,Nick Van Exel,Nick,,,29:36,2.0,2.0,0.0,6.0,15.0,11.0,5.0,34.0,0.0,0.0,0.0,0.0
6,0020201133,1610612742,DAL,Dallas,762,Shawn Bradley,Shawn,,,14:40,0.0,2.0,0.0,2.0,9.0,2.0,4.0,20.0,0.0,0.0,4.0,0.0
7,0020201133,1610612742,DAL,Dallas,2059,Eduardo Najera,Eduardo,,,20:58,0.0,0.0,0.0,0.0,12.0,11.0,1.0,18.0,1.0,1.0,0.0,0.0
8,0020201133,1610612742,DAL,Dallas,1505,Tariq Abdul-Wahad,Tariq,,,19:14,0.0,2.0,0.0,2.0,8.0,3.0,6.0,16.0,0.0,1.0,1.0,0.0
9,0020201133,1610612742,DAL,Dallas,1915,Evan Eschmeyer,Evan,,,12:45,0.0,0.0,0.0,0.0,5.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0
10,0020201133,1610612742,DAL,Dallas,422,Avery Johnson,Avery,,,22:08,0.0,0.0,5.0,6.0,13.0,6.0,3.0,16.0,1.0,0.0,1.0,0.0
11,0020201133,1610612742,DAL,Dallas,461,Popeye Jones,Popeye,,,8:02,0.0,4.0,0.0,4.0,4.0,0.0,2.0,4.0,0.0,1.0,3.0,0.0
12,0020201133,1610612756,PHX,Phoenix,1890,Shawn Marion,Shawn,F,,38:02,12.0,4.0,0.0,12.0,7.0,6.0,7.0,26.0,1.0,1.0,2.0,0.0
13,0020201133,1610612756,PHX,Phoenix,2405,Amar'e Stoudemire,Amar'e,F,,29:57,2.0,0.0,2.0,16.0,7.0,8.0,3.0,16.0,3.0,1.0,4.0,0.0
14,0020201133,1610612756,PHX,Phoenix,448,Bo Outlaw,Bo,C,,25:30,0.0,1.0,0.0,4.0,4.0,6.0,2.0,16.0,1.0,0.0,2.0,0.0
15,0020201133,1610612756,PHX,Phoenix,950,Stephon Marbury,Stephon,G,,37:20,4.0,3.0,5.0,0.0,4.0,8.0,4.0,24.0,1.0,1.0,4.0,0.0
