,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,0029601053,1610612758,SAC,Sacramento,182,Billy Owens,Billy,F,,24:57,89.3,90.2,120.4,128.0,-31.1,-37.8,0.0,0.0,0.0,0.069,0.056,0.064,0.0,0.417,0.417,0.207,0.205,100.69,97.15,80.96,51,0.044
1,0029601053,1610612758,SAC,Sacramento,258,Brian Grant,Brian,F,,26:26,81.9,79.2,116.7,117.6,-34.8,-38.4,0.0,0.0,0.0,0.032,0.238,0.115,10.0,0.375,0.483,0.169,0.178,93.23,94.43,78.69,53,0.102
2,0029601053,1610612758,SAC,Sacramento,178,Olden Polynice,Olden,C,,31:27,96.8,95.4,124.4,128.1,-27.6,-32.7,0.15,3.0,23.1,0.059,0.083,0.069,7.7,0.25,0.338,0.137,0.139,99.17,98.44,82.03,65,0.036
3,0029601053,1610612758,SAC,Sacramento,782,Mitch Richmond,Mitch,G,,24:00,111.0,110.6,139.5,142.6,-28.5,-31.9,0.357,1.67,23.8,0.0,0.05,0.023,14.3,0.545,0.66,0.302,0.303,94.88,94.0,78.33,47,0.132
4,0029601053,1610612758,SAC,Sacramento,51,Mahmoud Abdul-Rauf,Mahmoud,G,,31:11,87.7,88.9,121.1,125.4,-33.4,-36.5,0.118,0.67,11.8,0.0,0.0,0.0,17.6,0.417,0.417,0.208,0.206,99.35,96.97,80.81,63,-0.009
5,0029601053,1610612758,SAC,Sacramento,63,Michael Smith,Michael,,,19:08,55.1,53.7,135.4,143.6,-80.3,-89.9,0.0,0.0,0.0,0.077,0.154,0.103,20.0,0.333,0.387,0.104,0.106,102.0,100.35,83.62,41,-0.019
6,0029601053,1610612758,SAC,Sacramento,310,Bobby Hurley,Bobby,,,15:45,91.4,90.6,126.0,121.9,-34.5,-31.3,0.286,1.0,22.2,0.067,0.083,0.074,22.2,0.5,0.512,0.206,0.208,95.51,97.52,81.27,32,0.056
7,0029601053,1610612758,SAC,Sacramento,722,Corliss Williamson,Corliss,,,23:03,87.4,89.1,119.9,114.9,-32.5,-25.8,0.0,0.0,0.0,0.074,0.263,0.152,7.7,0.5,0.533,0.25,0.25,95.75,96.83,80.69,46,0.125
8,0029601053,1610612758,SAC,Sacramento,333,Kevin Gamble,Kevin,,,21:05,75.5,78.6,88.7,88.4,-13.2,-9.8,0.0,0.0,0.0,0.0,0.059,0.024,0.0,0.3,0.3,0.109,0.107,98.53,96.76,80.63,42,-0.047
9,0029601053,1610612758,SAC,Sacramento,1489,Lionel Simmons,Lionel,,,12:37,80.4,82.8,107.1,100.0,-26.7,-17.2,0.167,1.0,10.0,0.0,0.0,0.0,10.0,0.143,0.285,0.265,0.266,108.28,110.33,91.94,29,-0.064
10,0029601053,1610612758,SAC,Sacramento,721,Tyus Edney,Tyus,,,10:21,124.3,133.3,110.2,104.8,14.1,28.6,0.375,3.0,30.0,0.143,0.0,0.087,10.0,0.3,0.425,0.269,0.264,98.5,97.39,81.16,21,0.093
11,0029601053,1610612758,SAC,Sacramento,190,Duane Causwell,Duane,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
12,0029601053,1610612762,UTA,Utah,935,Bryon Russell,Bryon,F,,24:00,139.5,142.6,111.0,110.6,28.5,31.9,0.118,0.0,13.3,0.1,0.042,0.068,0.0,0.731,0.731,0.224,0.224,94.88,94.0,78.33,47,0.155
13,0029601053,1610612762,UTA,Utah,252,Karl Malone,Karl,F,,28:02,141.5,142.1,93.6,93.1,48.0,49.0,0.136,0.0,13.0,0.19,0.143,0.161,0.0,0.5,0.576,0.294,0.297,98.42,98.45,82.05,57,0.182
14,0029601053,1610612762,UTA,Utah,731,Greg Ostertag,Greg,C,,27:37,135.1,137.7,104.3,101.9,30.8,35.9,0.042,0.5,7.7,0.13,0.286,0.216,15.4,0.5,0.512,0.188,0.187,92.78,92.99,77.49,53,0.093
15,0029601053,1610612762,UTA,Utah,204,Jeff Hornacek,Jeff,G,,24:00,139.5,142.6,111.0,110.6,28.5,31.9,0.318,2.33,46.7,0.05,0.083,0.068,20.0,0.875,0.955,0.138,0.138,94.88,94.0,78.33,47,0.16
16,0029601053,1610612762,UTA,Utah,304,John Stockton,John,G,,22:10,115.1,120.9,71.1,68.2,44.1,52.7,0.412,2.33,43.8,0.0,0.185,0.114,18.8,0.667,0.887,0.176,0.176,94.59,94.2,78.5,43,0.246
17,0029601053,1610612762,UTA,Utah,458,Howard Eisley,Howard,,,25:50,124.4,122.2,101.4,103.6,23.1,18.6,0.429,4.5,52.9,0.0,0.034,0.02,11.8,0.75,0.75,0.131,0.133,101.52,101.26,84.39,54,0.159
18,0029601053,1610612762,UTA,Utah,1000,Shandon Anderson,Shandon,,,19:04,114.6,115.4,58.1,60.0,56.4,55.4,0.067,1.0,12.5,0.0,0.143,0.103,12.5,0.4,0.475,0.167,0.17,101.4,99.44,82.87,39,0.12
19,0029601053,1610612762,UTA,Utah,228,Adam Keefe,Adam,,,21:05,88.7,88.4,75.5,78.6,13.2,9.8,0.077,0.0,20.0,0.118,0.28,0.214,0.0,0.333,0.515,0.085,0.087,98.53,96.76,80.63,43,0.224
20,0029601053,1610612762,UTA,Utah,156,Antoine Carr,Antoine,,,16:31,110.5,114.7,50.7,51.5,59.8,63.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.556,0.556,0.27,0.268,99.97,97.36,81.13,34,0.16
21,0029601053,1610612762,UTA,Utah,323,Greg Foster,Greg,,,16:43,88.7,88.6,83.7,85.7,5.0,2.9,0.0,0.0,0.0,0.077,0.278,0.194,36.4,0.667,0.727,0.282,0.29,101.65,100.5,83.75,35,0.137
22,0029601053,1610612762,UTA,Utah,356,Chris Morris,Chris,,,9:25,108.5,100.0,75.5,77.3,33.0,22.7,0.143,0.0,25.0,0.0,0.077,0.053,0.0,0.667,0.667,0.125,0.135,111.43,114.69,95.58,23,0.083
23,0029601053,1610612762,UTA,Utah,1128,Stephen Howard,Stephen,,,5:33,67.3,66.7,109.7,107.7,-42.4,-41.0,0.0,0.0,0.0,0.0,0.25,0.1,33.3,0.25,0.25,0.462,0.466,106.55,108.11,90.09,12,-0.098
