Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Balls,Strikes,Pitches,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Starting,Start-IP,Relieving,Relief-IP,RAR,WAR,Dollars,tERA,xFIP,WPA,#NAME?,#NAME?,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,SIERA,RS/9,E-F,FA% (pfx),FT% (pfx),FC% (pfx),FS% (pfx),FO% (pfx),SI% (pfx),SL% (pfx),CU% (pfx),KC% (pfx),EP% (pfx),CH% (pfx),SC% (pfx),KN% (pfx),UN% (pfx),vFA (pfx),vFT (pfx),vFC (pfx),vFS (pfx),vFO (pfx),vSI (pfx),vSL (pfx),vCU (pfx),vKC (pfx),vEP (pfx),vCH (pfx),vSC (pfx),vKN (pfx),FA-X (pfx),FT-X (pfx),FC-X (pfx),FS-X (pfx),FO-X (pfx),SI-X (pfx),SL-X (pfx),CU-X (pfx),KC-X (pfx),EP-X (pfx),CH-X (pfx),SC-X (pfx),KN-X (pfx),FA-Z (pfx),FT-Z (pfx),FC-Z (pfx),FS-Z (pfx),FO-Z (pfx),SI-Z (pfx),SL-Z (pfx),CU-Z (pfx),KC-Z (pfx),EP-Z (pfx),CH-Z (pfx),SC-Z (pfx),KN-Z (pfx),wFA (pfx),wFT (pfx),wFC (pfx),wFS (pfx),wFO (pfx),wSI (pfx),wSL (pfx),wCU (pfx),wKC (pfx),wEP (pfx),wCH (pfx),wSC (pfx),wKN (pfx),wFA/C (pfx),wFT/C (pfx),wFC/C (pfx),wFS/C (pfx),wFO/C (pfx),wSI/C (pfx),wSL/C (pfx),wCU/C (pfx),wKC/C (pfx),wEP/C (pfx),wCH/C (pfx),wSC/C (pfx),wKN/C (pfx),O-Swing% (pfx),Z-Swing% (pfx),Swing% (pfx),O-Contact% (pfx),Z-Contact% (pfx),Contact% (pfx),Zone% (pfx),Pace,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,Age Rng,K-BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,kwERA,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events
Cardinals,29,26,23,2.71,377,0,0,0,38,,462.1,1905,379,164,139,34,170,26,11,26,3,402,,,,,,,,,,,,7.83,3.31,2.36,7.38,0.66,0.22,1.19,0.268,77.30%,3.49,,,,,,,,,,,47.5,457.2,47.5,4.9,,,,5.24,-32.13,37.36,62.98,6.33,1.09,1.03,1.14,1.22,238,6.19,-1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,58,66,84,,21.10%,8.90%,,,-0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,3.1,1,4.1,22 - 37,12.20%,,,,,,,3.85,31.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,100,118,81,69,85,86,91,109,123,104,,,,,,,,,,,,,,,,,,0
Indians,28,32,13,3.05,335,0,0,0,50,,422,1763,362,165,143,39,162,12,15,25,3,378,,,,,,,,,,,,8.06,3.45,2.33,7.72,0.83,0.228,1.24,0.276,77.20%,3.77,,,,,,,,,,,65.2,418.5,65.2,6.2,,,,10.73,-28.72,39.45,69.73,6.82,1.16,1.18,1.32,1.47,201,4.67,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,45,64,81,,21.40%,9.20%,,,-0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1.4,2.4,3.8,22 - 38,12.30%,,,,,,,3.84,32.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,91,144,82,77,86,85,94,110,140,96,,,,,,,,,,,,,,,,,,0
Mets,28,25,22,3.51,298,0,0,0,36,,366.2,1545,353,162,143,30,125,24,8,19,4,286,,,,,,,,,,,,7.02,3.07,2.29,8.66,0.74,0.25,1.3,0.295,73.00%,3.7,,,,,,,,,,,32,363.4,32,3.2,,,,-3.26,-32.71,29.45,13.17,1.36,1.15,1.12,1.19,1.28,163,1.44,-4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,50,86,88,,18.50%,8.10%,,,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,0.2,0.4,0.6,23 - 34,10.40%,,,,,,,4.06,28.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,92,113,96,77,97,95,100,103,108,94,,,,,,,,,,,,,,,,,,0
Angels,29,21,15,3.65,368,0,0,0,42,,417,1775,363,181,169,43,190,15,17,16,5,335,,,,,,,,,,,,7.23,4.1,1.76,7.83,0.93,0.232,1.33,0.269,76.30%,4.33,,,,,,,,,,,41.7,412.8,41.7,4,,,,4.58,-27.15,31.73,51.13,4.65,0.97,1.04,1.21,1.28,231,3.77,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,54,76,90,,18.90%,10.70%,,,-0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,2.1,1.3,3.4,23 - 37,8.20%,,,,,,,4.33,32.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,108,108,83,86,87,90,91,109,123,112,,,,,,,,,,,,,,,,,,0
Phillies,27,23,21,3.74,341,0,0,0,41,,462.1,1981,408,210,192,41,223,26,22,33,2,389,,,,,,,,,,,,7.57,4.34,1.74,7.94,0.8,0.235,1.36,0.281,74.40%,4.16,,,,,,,,,,,19,458.6,19,2,,,,3.3,-36.77,40.07,19.74,1.97,1.17,1.13,1.28,1.36,205,1.78,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,57,89,99,,19.60%,11.30%,,,-0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,1.6,1.8,3.4,24 - 32,8.40%,,,,,,,4.3,33.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,131,86,88,84,91,99,96,105,115,131,,,,,,,,,,,,,,,,,,0
Astros,29,30,16,3.74,394,0,0,0,32,,464.2,2028,464,212,193,39,199,37,19,19,3,389,,,,,,,,,,,,7.53,3.85,1.95,8.99,0.76,0.256,1.43,0.308,74.90%,3.93,,,,,,,,,,,19.8,461.4,19.8,2,,,,1.22,-37.43,38.65,2.21,0.39,1.19,1.19,1.32,1.45,256,-0.29,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,70,95,98,,19.20%,9.80%,,,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,-1.4,2.9,1.5,23 - 35,9.40%,,,,,,,4.18,30.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,116,98,99,79,99,104,105,106,112,115,,,,,,,,,,,,,,,,,,0
Reds,27,25,18,3.92,329,0,0,0,38,,452,1939,422,210,197,42,188,16,12,37,4,351,,,,,,,,,,,,6.99,3.74,1.87,8.4,0.84,0.243,1.35,0.282,73.20%,4.09,,,,,,,,,,,19.6,448.5,19.6,2,,,,3.48,-30.88,34.37,18.48,1.9,0.99,1,1.1,1.17,193,2.31,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,53,94,96,,18.10%,9.70%,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1.6,0.3,1.9,22 - 31,8.40%,,,,,,,4.3,30.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,113,93,93,88,94,98,96,103,106,113,,,,,,,,,,,,,,,,,,0
Braves,27,28,16,3.93,339,0,0,0,34,,361.2,1588,372,178,158,37,151,27,10,12,2,333,,,,,,,,,,,,8.29,3.76,2.21,9.26,0.92,0.261,1.45,0.317,73.80%,3.93,,,,,,,,,,,30.8,359.1,30.8,3.2,,,,0.75,-30.23,30.99,-1.37,-0.29,1.15,1.2,1.26,1.38,213,-0.92,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,63,93,92,,21.00%,9.50%,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-1.8,1.6,-0.2,22 - 37,11.50%,,,,,,,3.93,32.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,113,109,102,96,101,105,108,104,123,111,,,,,,,,,,,,,,,,,,0
Mariners,27,24,22,4.05,324,0,0,0,39,,462.2,2046,445,229,208,53,220,20,24,23,2,432,,,,,,,,,,,,8.4,4.28,1.96,8.66,1.03,0.247,1.44,0.298,74.80%,4.31,,,,,,,,,,,45.8,459.4,45.8,4.5,,,,0.82,-39.47,40.3,27.13,2.43,1.13,1.18,1.38,1.55,188,2.03,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,71,85,92,,21.10%,10.80%,,,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,-0.6,1.8,1.2,21 - 37,10.40%,,,,,,,4.06,34.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,113,122,92,95,93,98,101,107,137,112,,,,,,,,,,,,,,,,,,0
Expos,28,11,20,4.21,396,0,0,0,42,,438.2,1919,425,227,205,47,169,15,34,22,1,332,,,,,,,,,,,,6.81,3.47,1.96,8.72,0.96,0.248,1.35,0.283,71.30%,4.37,,,,,,,,,,,7.6,436.1,7.6,0.8,,,,-2.24,-35.1,32.85,-15.52,-1.75,1.03,1.07,1.22,1.28,259,-1.22,-0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,76,99,104,,17.30%,8.80%,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.4,-0.6,0.8,21 - 39,8.50%,,,,,,,4.29,28.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,104,98,96,101,96,98,96,101,101,103,,,,,,,,,,,,,,,,,,0
