"Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","SIERA","RS/9","E-F","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","Age Rng","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","kwERA","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)","FRM","K/9+","BB/9+","K/BB+","H/9+","HR/9+","AVG+","WHIP+","BABIP+","LOB%+","K%+","BB%+","LD%+","GB%+","FB%+","HR/FB%+","Pull%+","Cent%+","Oppo%+","Soft%+","Med%+","Hard%+","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","Events"
"Mets","27","25","18","2.50","274","0","0","0","33","","472.1","1957","379","162","131","17","216","47","8","16","4","277","","","","","","","","","","","","5.28","4.12","1.28","7.22","0.32",".219","1.26",".252","76.1%","3.47","","","","","","","","","","","19.1","469.3","19.1","2.2","","","","3.44","-29.89","33.33","44.34","5.16","1.00","0.98","1.08","1.05","130","4.46","-1.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","44","69","95","","14.2%","11.0%","","","-0.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.4","2.6","2.7","5.3","24 - 36","3.1%","","","","","","","4.11","26.1%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","124","77","83","45","88","95","90","106","97","127","","","","","","","","","","","","","","","","","","0"
"Dodgers","26","27","16","2.50","278","0","0","0","40","","399.2","1664","330","142","111","22","143","44","8","13","1","282","","","","","","","","","","","","6.35","3.22","1.97","7.43","0.50",".218","1.18",".255","75.3%","3.19","","","","","","","","","","","40.9","396.4","40.9","4.5","","","","4.94","-25.83","30.77","27.95","3.02","1.09","1.21","1.38","1.27","142","4.61","-0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","49","71","88","","17.0%","8.6%","","","-0.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6","1.9","1.2","3.1","20 - 34","8.4%","","","","","","","3.48","26.9%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115","97","117","86","69","87","89","91","105","117","99","","","","","","","","","","","","","","","","","","0"
"Astros","27","28","22","3.01","261","0","0","0","48","","443.0","1784","344","164","148","33","155","26","6","17","1","293","","","","","","","","","","","","5.95","3.15","1.89","6.99","0.67",".212","1.13",".240","74.3%","3.49","","","","","","","","","","","15.1","440.2","15.1","1.8","","","","2.15","-31.87","34.02","9.23","1.16","1.11","1.23","1.41","1.41","121","2.66","-0.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78","53","88","99","","16.4%","8.7%","","","-0.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1","3.8","-0.5","3.3","23 - 32","7.7%","","","","","","","3.56","27.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107","95","113","81","93","85","85","86","103","113","100","","","","","","","","","","","","","","","","","","0"
"Padres","27","25","26","3.12","294","0","0","0","44","","473.1","1983","421","186","164","35","176","33","7","13","3","299","","","","","","","","","","","","5.69","3.35","1.70","8.00","0.67",".234","1.26",".263","75.3%","3.61","","","","","","","","","","","22.1","470.3","22.1","2.5","","","","5.72","-38.54","44.26","24.17","2.78","1.28","1.33","1.48","1.54","154","2.85","1.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107","58","88","97","","15.1%","8.9%","","","-0.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.4","1.2","1.6","2.9","23 - 33","6.2%","","","","","","","3.74","25.7%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103","101","101","93","92","94","95","94","104","104","102","","","","","","","","","","","","","","","","","","0"
"Rangers","27","15","20","3.23","190","0","0","0","32","","351.1","1478","313","136","126","20","126","15","8","11","0","233","","","","","","","","","","","","5.97","3.23","1.85","8.02","0.51",".233","1.25",".269","74.2%","3.31","","","","","","","","","","","40.9","349.7","40.9","4.3","","","","1.07","-29.22","30.29","29.40","3.05","1.21","1.33","1.53","1.47","70","3.08","-2.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64","46","80","85","","15.8%","8.5%","","","-0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0","1.4","0.3","1.8","22 - 35","7.2%","","","","","","","3.62","25.6%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","123","103","119","87","61","89","91","95","105","125","104","","","","","","","","","","","","","","","","","","0"
"Pirates","28","21","29","3.28","290","0","0","0","41","","447.2","1906","384","197","163","28","215","36","7","19","2","304","","","","","","","","","","","","6.11","4.32","1.41","7.72","0.56",".228","1.34",".263","72.2%","3.70","","","","","","","","","","","18.9","446.5","18.9","2.1","","","","0.40","-37.55","37.95","-1.60","-0.23","1.19","1.29","1.51","1.68","153","2.30","-1.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","72","88","99","","16.0%","11.3%","","","-0.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","1.1","0.3","1.4","22 - 38","4.7%","","","","","","","3.93","28.7%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110","131","84","89","75","91","100","94","100","110","130","","","","","","","","","","","","","","","","","","0"
"Phillies","31","33","16","3.36","300","0","0","0","41","","437.0","1846","407","181","163","39","152","49","4","13","2","336","","","","","","","","","","","","6.92","3.13","2.21","8.38","0.80",".241","1.28",".280","75.1%","3.45","","","","","","","","","","","33.7","432.8","33.7","3.7","","","","1.93","-32.90","34.83","11.51","1.38","1.10","1.23","1.41","1.37","157","1.10","0.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","65","91","92","","18.2%","8.2%","","","-0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4","-0.8","1.5","0.7","23 - 40","10.0%","","","","","","","3.29","28.6%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125","95","132","97","111","96","96","100","104","125","95","","","","","","","","","","","","","","","","","","0"
"Cubs","27","20","30","3.37","369","0","0","0","42","","532.0","2239","489","214","199","29","215","63","7","19","8","368","","","","","","","","","","","","6.23","3.64","1.71","8.27","0.49",".242","1.32",".284","74.1%","3.33","","","","","","","","","","","52.9","529.9","52.9","5.8","","","","0.52","-37.46","37.98","41.00","4.44","1.02","1.06","1.18","1.16","216","3.45","-2.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","88","87","84","","16.4%","9.6%","","","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.4","-1.4","3.0","1.6","20 - 40","6.8%","","","","","","","3.67","27.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112","110","102","96","68","97","100","102","103","113","110","","","","","","","","","","","","","","","","","","0"
"Cardinals","28","31","22","3.41","327","0","0","0","27","","473.0","2022","470","206","179","32","185","49","10","18","5","242","","","","","","","","","","","","4.60","3.52","1.31","8.94","0.61",".257","1.38",".282","74.0%","3.85","","","","","","","","","","","1.4","469.5","1.4","0.2","","","","-0.23","-35.95","35.72","2.85","0.24","1.04","1.10","1.23","1.25","187","0.24","-0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77","64","95","106","","12.0%","9.2%","","","-0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8","-1.2","2.8","1.6","23 - 44","2.8%","","","","","","","4.15","22.7%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83","106","78","103","84","103","104","101","103","82","105","","","","","","","","","","","","","","","","","","0"
"Braves","28","26","27","3.48","305","0","0","0","48","","462.2","1944","444","192","179","41","158","34","9","11","2","334","","","","","","","","","","","","6.50","3.07","2.11","8.64","0.80",".250","1.30",".287","75.7%","3.55","","","","","","","","","","","35.0","459.4","35.0","3.8","","","","-2.34","-40.57","38.23","30.01","2.98","1.17","1.17","1.37","1.32","162","2.04","-4.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83","73","90","91","","17.2%","8.1%","","","-0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.3","-1.6","3.1","1.5","23 - 44","9.1%","","","","","","","3.40","27.4%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117","93","125","100","111","100","98","103","105","118","94","","","","","","","","","","","","","","","","","","0"
