"Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","SIERA","RS/9","E-F","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","Age Rng","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","kwERA","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)","FRM","K/9+","BB/9+","K/BB+","H/9+","HR/9+","AVG+","WHIP+","BABIP+","LOB%+","K%+","BB%+","LD%+","GB%+","FB%+","HR/FB%+","Pull%+","Cent%+","Oppo%+","Soft%+","Med%+","Hard%+","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","Events"
"Reds","27","33","15","3.10","392","0","0","0","44","","514.0","2148","488","196","177","37","190","36","5","12","1","362","","","","","","","","","","","","6.34","3.33","1.91","8.54","0.65",".250","1.32",".290","77.2%","3.54","","","","","","","","","","","60.7","511.9","60.7","6.3","","","","5.41","-35.56","40.96","63.44","6.12","1.05","1.13","1.27","1.37","237","4.92","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104","60","73","84","","16.9%","8.9%","","","-0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1","-0.8","4.6","3.8","23 - 34","8.0%","","","","","","","4.13","27.4%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105","98","107","96","69","98","96","102","108","108","100","","","","","","","","","","","","","","","","","","0"
"Expos","29","29","14","3.22","335","0","0","0","50","","508.2","2158","461","222","182","46","181","31","8","24","2","366","","","","","","","","","","","","6.48","3.20","2.02","8.16","0.81",".234","1.26",".267","73.1%","3.72","","","","","","","","","","","36.3","506.1","36.3","3.8","","","","7.79","-31.01","38.80","44.03","4.39","0.97","1.04","1.16","1.20","189","3.70","4.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97","57","78","92","","17.0%","8.4%","","","-0.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","2.2","0.1","2.3","23 - 38","8.6%","","","","","","","4.06","27.5%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107","94","113","91","86","92","92","93","103","108","95","","","","","","","","","","","","","","","","","","0"
"Giants","29","36","24","3.23","348","0","0","0","38","","526.2","2192","420","207","189","48","248","44","8","26","5","442","","","","","","","","","","","","7.55","4.24","1.78","7.18","0.82",".217","1.27",".257","77.0%","3.84","","","","","","","","","","","31.2","522.7","31.2","3.3","","","","2.73","-45.45","48.18","51.95","5.43","1.24","1.27","1.36","1.39","205","4.32","-2.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107","79","83","95","","20.2%","11.3%","","","-0.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.8","3.4","1.1","4.5","22 - 38","8.9%","","","","","","","4.03","33.7%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125","124","101","80","87","85","92","90","108","129","128","","","","","","","","","","","","","","","","","","0"
"Phillies","28","27","18","3.39","389","0","0","0","48","","496.0","2113","441","211","187","51","206","59","10","13","11","363","","","","","","","","","","","","6.59","3.74","1.76","8.00","0.93",".232","1.30",".263","76.2%","4.05","","","","","","","","","","","19.1","492.5","19.1","2.0","","","","6.59","-33.74","40.32","34.69","3.63","1.06","1.08","1.16","1.08","240","2.29","3.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107","68","81","98","","17.2%","9.8%","","","-0.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8","2.5","2.4","4.8","21 - 40","7.4%","","","","","","","4.20","29.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109","110","99","89","98","91","95","92","107","110","110","","","","","","","","","","","","","","","","","","0"
"Blue Jays","27","34","22","3.45","336","0","0","0","43","","484.2","2041","408","197","186","49","232","46","9","19","5","428","","","","","","","","","","","","7.95","4.31","1.84","7.58","0.91",".227","1.32",".271","77.9%","3.91","","","","","","","","","","","54.0","482.1","54.0","5.3","","","","4.83","-35.58","40.41","61.52","6.25","1.11","1.18","1.42","1.51","192","4.49","-0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102","67","77","88","","21.0%","11.4%","","","-0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.9","2.0","2.6","4.6","23 - 38","9.6%","","","","","","","3.93","34.7%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133","124","107","82","78","87","94","95","110","136","127","","","","","","","","","","","","","","","","","","0"
"Angels","29","23","27","3.64","244","0","0","0","36","","504.1","2130","467","236","204","43","208","21","9","21","6","353","","","","","","","","","","","","6.30","3.71","1.70","8.33","0.77",".244","1.34",".279","71.8%","3.87","","","","","","","","","","","56.2","500.6","56.2","5.5","","","","2.51","-37.61","40.13","35.52","3.46","1.06","1.04","1.18","1.30","102","3.55","-1.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","57","83","85","","16.6%","9.8%","","","-0.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","1.4","-1.3","0.1","20 - 42","6.8%","","","","","","","4.27","28.4%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105","107","98","91","65","94","95","98","102","108","109","","","","","","","","","","","","","","","","","","0"
"Mets","26","22","26","3.68","308","0","0","0","51","","457.0","1944","446","207","187","36","152","32","11","12","3","347","","","","","","","","","","","","6.83","2.99","2.28","8.78","0.71",".250","1.31",".293","72.0%","3.45","","","","","","","","","","","44.2","454.9","44.2","4.6","","","","2.52","-37.88","40.40","27.90","2.97","1.22","1.24","1.34","1.40","162","3.06","-0.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","58","95","87","","17.9%","7.8%","","","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","-1.2","-1.1","-2.3","21 - 33","10.0%","","","","","","","3.88","27.5%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113","88","126","98","75","98","95","103","101","114","89","","","","","","","","","","","","","","","","","","0"
"Cardinals","27","36","26","3.78","362","0","0","0","48","","492.2","2089","468","221","207","50","198","51","9","15","3","352","","","","","","","","","","","","6.43","3.62","1.78","8.55","0.91",".249","1.35",".282","75.0%","4.02","","","","","","","","","","","18.4","489.4","18.4","2.0","","","","2.30","-44.11","46.41","19.32","1.82","1.26","1.31","1.48","1.56","212","2.18","-0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118","76","93","101","","16.9%","9.5%","","","-0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.7","0.1","3.6","3.7","22 - 37","7.4%","","","","","","","4.20","28.7%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107","106","100","96","97","97","98","99","105","108","107","","","","","","","","","","","","","","","","","","0"
"Astros","28","23","21","3.92","316","0","0","0","33","","432.0","1852","421","208","188","40","173","31","9","8","2","313","","","","","","","","","","","","6.52","3.60","1.81","8.77","0.83",".252","1.38",".289","72.2%","3.89","","","","","","","","","","","23.3","429.2","23.3","2.5","","","","-3.91","-33.66","29.75","-19.13","-1.55","1.00","1.07","1.24","1.33","167","-1.45","-2.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","67","99","100","","16.9%","9.3%","","","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9","-0.6","1.0","0.4","22 - 38","7.6%","","","","","","","4.18","28.4%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108","106","100","98","88","99","100","101","101","108","106","","","","","","","","","","","","","","","","","","0"
"Dodgers","28","16","21","3.94","280","0","0","0","32","","379.1","1637","374","183","166","32","158","40","6","14","8","293","","","","","","","","","","","","6.95","3.75","1.85","8.87","0.76",".254","1.40",".298","72.0%","3.72","","","","","","","","","","","23.8","376.3","23.8","2.5","","","","-3.75","-32.13","28.38","-18.13","-2.05","1.06","1.09","1.19","1.13","147","-0.40","-3.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","63","102","95","","17.9%","9.7%","","","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1","-1.4","0.1","-1.3","22 - 38","8.3%","","","","","","","4.10","29.5%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115","110","104","99","80","99","102","104","101","114","109","","","","","","","","","","","","","","","","","","0"
