"Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","SIERA","RS/9","E-F","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","Age Rng","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","kwERA","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)","FRM","K/9+","BB/9+","K/BB+","H/9+","HR/9+","AVG+","WHIP+","BABIP+","LOB%+","K%+","BB%+","LD%+","GB%+","FB%+","HR/FB%+","Pull%+","Cent%+","Oppo%+","Soft%+","Med%+","Hard%+","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","Events"
"Cardinals","29","22","15","2.85","295","0","0","0","44","","397.2","1669","363","147","126","24","143","52","7","16","3","270","","","","","","","","","","","","6.11","3.24","1.89","8.22","0.54",".239","1.27",".277","76.4%","3.24","","","","","","","","","","","31.6","395.1","31.6","3.5","","","","3.86","-27.38","31.24","21.47","2.25","1.10","1.27","1.53","1.62","170","2.49","1.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","55","81","91","","16.2%","8.6%","","","-0.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","0.2","2.0","2.3","24 - 36","7.6%","","","","","","","3.63","26.2%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111","99","113","96","74","97","97","101","106","112","99","","","","","","","","","","","","","","","","","","0"
"Yankees","29","26","20","2.91","270","0","0","0","49","","442.1","1834","392","162","143","28","155","13","1","16","0","328","","","","","","","","","","","","6.67","3.15","2.12","7.98","0.57",".234","1.24",".275","75.9%","3.08","","","","","","","","","","","80.0","438.6","80.0","8.3","","","","1.59","-34.50","36.09","54.85","5.58","1.16","1.23","1.56","1.63","134","5.87","-4.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87","56","72","77","","17.9%","8.5%","","","-0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.3","-0.1","1.0","0.9","23 - 35","9.4%","","","","","","","3.41","27.9%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127","95","134","89","59","91","90","99","107","131","98","","","","","","","","","","","","","","","","","","0"
"Giants","27","23","28","3.26","321","0","0","0","24","","455.1","1956","391","192","165","33","231","50","13","21","4","372","","","","","","","","","","","","7.35","4.57","1.61","7.73","0.65",".228","1.37",".274","75.2%","3.60","","","","","","","","","","","20.9","453.0","20.9","2.3","","","","-4.87","-39.51","34.64","-18.65","-2.42","1.11","1.13","1.24","1.19","172","-0.30","-4.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78","75","93","98","","19.0%","11.8%","","","-0.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","0.6","-0.6","0.0","23 - 35","7.2%","","","","","","","3.67","32.5%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","134","139","96","90","89","92","104","99","104","132","137","","","","","","","","","","","","","","","","","","0"
"Blue Jays","28","35","20","3.27","316","0","0","0","47","","432.2","1802","381","175","157","36","175","20","5","10","1","281","","","","","","","","","","","","5.85","3.64","1.61","7.93","0.75",".235","1.29",".264","75.6%","3.72","","","","","","","","","","","35.4","430.1","35.4","3.7","","","","3.19","-37.76","40.95","39.61","4.30","1.29","1.40","1.61","1.83","173","3.62","-1.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106","67","77","91","","15.6%","9.7%","","","-0.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.9","1.0","3.2","4.2","24 - 36","5.9%","","","","","","","3.83","27.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111","109","102","88","77","91","94","95","106","114","112","","","","","","","","","","","","","","","","","","0"
"Reds","26","31","16","3.37","287","0","0","0","45","","400.2","1699","372","168","150","31","171","28","5","13","1","235","","","","","","","","","","","","5.28","3.84","1.37","8.36","0.70",".244","1.36",".271","75.3%","3.84","","","","","","","","","","","7.5","398.8","7.5","0.9","","","","4.07","-31.28","35.36","9.43","0.79","1.16","1.23","1.32","1.49","149","0.72","2.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94","51","90","102","","13.8%","10.1%","","","-0.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.6","0.8","2.9","3.7","23 - 32","3.8%","","","","","","","4.09","25.7%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","117","82","98","95","99","103","99","104","96","117","","","","","","","","","","","","","","","","","","0"
"Angels","29","28","16","3.38","249","0","0","0","41","","455.0","1891","430","191","171","51","153","20","6","13","0","237","","","","","","","","","","","","4.69","3.03","1.55","8.51","1.01",".248","1.28",".262","76.9%","4.15","","","","","","","","","","","25.6","453.6","25.6","2.7","","","","6.07","-29.79","35.85","31.26","3.18","1.04","1.05","1.21","1.30","109","2.63","3.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","43","83","99","","12.5%","8.1%","","","-0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.9","1.4","2.8","4.2","20 - 42","4.4%","","","","","","","4.01","23.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","91","98","95","104","97","94","94","108","92","94","","","","","","","","","","","","","","","","","","0"
"Astros","27","24","27","3.45","282","0","0","0","42","","420.1","1775","402","194","161","34","166","26","3","19","3","254","","","","","","","","","","","","5.44","3.55","1.53","8.61","0.73",".250","1.35",".279","72.0%","3.73","","","","","","","","","","","-2.9","418.7","-2.9","-0.3","","","","-0.44","-33.82","33.37","-10.10","-1.13","1.10","1.19","1.37","1.48","137","-0.12","-0.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77","55","101","109","","14.3%","9.4%","","","-0.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.1","0.0","0.1","0.2","21 - 30","5.0%","","","","","","","3.94","25.6%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","108","90","101","99","101","103","101","100","99","108","","","","","","","","","","","","","","","","","","0"
"Phillies","29","22","26","3.50","315","0","0","0","30","","427.1","1841","396","190","166","30","187","34","11","8","2","300","","","","","","","","","","","","6.32","3.94","1.60","8.34","0.63",".241","1.36",".279","73.2%","3.58","","","","","","","","","","","16.3","424.3","16.3","1.8","","","","-1.27","-35.76","34.49","-4.04","-0.19","1.13","1.20","1.31","1.32","177","0.35","-1.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","67","95","99","","16.3%","10.2%","","","-0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","0.0","1.0","1.0","22 - 42","6.1%","","","","","","","3.80","28.1%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115","120","95","98","86","98","104","101","101","113","118","","","","","","","","","","","","","","","","","","0"
"White Sox","27","25","19","3.51","305","0","0","0","39","","439.0","1842","403","190","171","39","163","18","11","19","2","312","","","","","","","","","","","","6.40","3.34","1.91","8.26","0.80",".242","1.29",".276","74.1%","3.61","","","","","","","","","","","46.6","434.8","46.6","4.9","","","","2.01","-31.95","33.96","19.43","1.96","1.04","1.13","1.30","1.31","162","1.53","0.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","51","82","88","","16.9%","8.9%","","","-0.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.1","-0.2","2.3","2.2","19 - 40","8.1%","","","","","","","3.57","27.9%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","122","100","119","92","82","94","94","99","104","124","102","","","","","","","","","","","","","","","","","","0"
"Padres","27","16","28","3.54","283","0","0","0","44","","409.0","1728","376","184","161","31","162","27","7","14","2","263","","","","","","","","","","","","5.79","3.56","1.62","8.27","0.68",".241","1.32",".273","72.0%","3.62","","","","","","","","","","","26.9","406.9","26.9","3.0","","","","-0.66","-33.41","32.74","-12.27","-1.28","1.12","1.28","1.48","1.53","147","-0.76","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","65","100","98","","15.2%","9.4%","","","-0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","0.8","-0.8","0.0","21 - 33","5.8%","","","","","","","3.84","26.4%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105","109","97","97","93","98","100","99","100","105","109","","","","","","","","","","","","","","","","","","0"
