"Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","SIERA","RS/9","E-F","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","Age Rng","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","kwERA","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)","FRM","K/9+","BB/9+","K/BB+","H/9+","HR/9+","AVG+","WHIP+","BABIP+","LOB%+","K%+","BB%+","LD%+","GB%+","FB%+","HR/FB%+","Pull%+","Cent%+","Oppo%+","Soft%+","Med%+","Hard%+","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","Events"
"Brewers","29","24","18","2.78","338","0","0","0","39","","385.1","1589","309","134","119","26","162","23","14","14","2","276","","","","","","","","","","","","6.45","3.78","1.70","7.22","0.61",".219","1.22",".255","78.2%","3.60","","","","","","","","","","","26.5","383.7","26.5","2.8","","","","2.21","-25.86","28.07","25.40","2.90","1.04","1.19","1.34","1.36","195","3.85","-1.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","51","71","92","","17.4%","10.2%","","","-0.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.1","2.1","2.2","4.3","23 - 35","7.2%","","","","","","","3.62","29.2%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119","111","108","81","77","86","90","90","109","124","115","","","","","","","","","","","","","","","","","","0"
"Astros","28","39","21","2.89","422","0","0","0","45","","535.0","2248","463","196","172","30","199","35","19","22","3","392","","","","","","","","","","","","6.59","3.35","1.97","7.79","0.50",".228","1.24",".269","75.9%","3.27","","","","","","","","","","","22.9","532.2","22.9","2.7","","","","4.65","-36.41","41.06","24.37","2.84","1.10","1.15","1.24","1.30","266","2.37","1.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124","67","86","98","","17.4%","8.9%","","","-0.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0","1.8","0.5","2.4","24 - 35","8.6%","","","","","","","3.45","27.6%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113","109","103","92","78","93","96","96","104","113","109","","","","","","","","","","","","","","","","","","0"
"Cardinals","31","33","28","2.95","422","0","0","0","47","","472.2","1949","394","166","155","33","165","35","14","15","1","295","","","","","","","","","","","","5.62","3.14","1.79","7.50","0.63",".223","1.18",".250","77.3%","3.58","","","","","","","","","","","9.3","471.5","9.3","1.1","","","","2.73","-39.66","42.39","29.34","3.40","1.30","1.27","1.36","1.41","270","2.41","-0.30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140","67","85","102","","15.1%","8.5%","","","-0.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.2","4.0","1.1","5.1","23 - 40","6.7%","","","","","","","3.68","25.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","102","94","88","97","91","92","90","106","98","104","","","","","","","","","","","","","","","","","","0"
"Orioles","29","23","14","3.03","289","0","0","0","48","","430.0","1815","377","161","145","18","197","23","13","16","0","262","","","","","","","","","","","","5.48","4.12","1.33","7.89","0.38",".235","1.33",".271","75.8%","3.57","","","","","","","","","","","39.1","427.2","39.1","4.2","","","","6.21","-28.93","35.14","27.66","2.90","1.10","1.12","1.35","1.36","147","4.17","1.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","41","76","89","","14.4%","10.9%","","","-0.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.8","0.8","2.9","3.6","25 - 40","3.6%","","","","","","","4.05","26.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102","121","84","89","48","92","98","96","106","103","122","","","","","","","","","","","","","","","","","","0"
"Padres","29","25","22","3.05","363","0","0","0","46","","466.2","1955","427","174","158","27","161","35","9","12","5","366","","","","","","","","","","","","7.06","3.11","2.27","8.24","0.52",".239","1.26",".287","75.6%","3.06","","","","","","","","","","","42.5","463.4","42.5","4.9","","","","0.85","-37.49","38.35","20.36","2.15","1.20","1.17","1.28","1.37","211","2.39","-1.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","55","85","85","","18.7%","8.2%","","","-0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","-0.5","0.3","-0.2","25 - 39","10.5%","","","","","","","3.22","28.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121","100","120","96","80","97","97","103","104","122","101","","","","","","","","","","","","","","","","","","0"
"Giants","28","26","27","3.09","386","0","0","0","30","","536.0","2218","467","200","184","38","185","30","15","20","5","440","","","","","","","","","","","","7.39","3.11","2.38","7.84","0.64",".231","1.22",".279","76.1%","3.18","","","","","","","","","","","37.0","533.9","37.0","4.3","","","","4.23","-35.86","40.10","24.75","2.86","1.07","1.13","1.25","1.26","233","0.80","3.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108","66","91","91","","19.8%","8.3%","","","-0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.8","0.5","0.1","0.5","23 - 33","11.5%","","","","","","","3.10","29.9%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127","101","125","92","98","94","95","100","105","129","103","","","","","","","","","","","","","","","","","","0"
"Reds","28","27","18","3.26","357","0","0","0","55","","441.1","1845","368","180","160","31","178","24","11","34","0","421","","","","","","","","","","","","8.59","3.63","2.37","7.50","0.63",".222","1.24",".280","73.4%","3.07","","","","","","","","","","","44.6","438.3","44.6","5.2","","","","2.58","-32.80","35.39","7.82","0.77","1.14","1.19","1.27","1.30","204","1.92","0.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109","55","92","84","","22.8%","9.7%","","","0.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4","0.2","-3.0","-2.8","25 - 30","13.2%","","","","","","","2.90","34.2%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","147","118","123","88","97","90","96","100","101","148","119","","","","","","","","","","","","","","","","","","0"
"Royals","28","25","31","3.27","340","0","0","0","44","","551.0","2318","499","224","200","37","199","31","19","20","4","361","","","","","","","","","","","","5.90","3.25","1.81","8.15","0.60",".238","1.27",".271","74.1%","3.53","","","","","","","","","","","35.4","545.4","35.4","3.8","","","","-0.61","-40.78","40.17","26.00","2.94","1.05","1.03","1.17","1.25","187","2.23","-2.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","67","81","92","","15.6%","8.6%","","","-0.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.7","0.9","2.0","2.9","22 - 37","7.0%","","","","","","","3.64","25.8%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109","95","115","92","77","93","93","96","103","111","97","","","","","","","","","","","","","","","","","","0"
"Expos","27","22","20","3.30","349","0","0","0","49","","469.0","1984","425","184","172","26","178","29","18","21","3","362","","","","","","","","","","","","6.95","3.42","2.03","8.16","0.50",".238","1.29",".285","74.8%","3.21","","","","","","","","","","","28.4","465.5","28.4","3.3","","","","2.37","-35.45","37.81","24.14","2.88","1.14","1.12","1.29","1.20","198","2.98","-0.90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","59","96","93","","18.3%","9.0%","","","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.6","-0.2","1.5","1.3","23 - 34","9.3%","","","","","","","3.37","28.5%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119","111","107","96","77","97","100","102","103","118","111","","","","","","","","","","","","","","","","","","0"
"Indians","27","32","21","3.31","379","0","0","0","46","","514.2","2175","465","205","189","52","217","28","18","20","5","333","","","","","","","","","","","","5.82","3.79","1.53","8.13","0.91",".240","1.33",".266","78.9%","4.17","","","","","","","","","","","4.4","511.4","4.4","0.6","","","","6.56","-41.07","47.63","44.23","4.71","1.22","1.35","1.56","1.65","230","2.94","2.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124","68","84","107","","15.3%","10.0%","","","-0.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.7","1.6","6.4","8.0","24 - 37","5.3%","","","","","","","3.84","27.7%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108","111","96","92","116","94","97","94","110","109","113","","","","","","","","","","","","","","","","","","0"
