"Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","SIERA","RS/9","E-F","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","Age Rng","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","kwERA","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)","FRM","K/9+","BB/9+","K/BB+","H/9+","HR/9+","AVG+","WHIP+","BABIP+","LOB%+","K%+","BB%+","LD%+","GB%+","FB%+","HR/FB%+","Pull%+","Cent%+","Oppo%+","Soft%+","Med%+","Hard%+","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","Events"
"Dodgers","25","14","17","2.84","198","0","0","0","38","","320.0","1330","267","119","101","17","136","18","7","13","4","207","","","","","","","","","","","","5.82","3.83","1.52","7.51","0.48",".225","1.26",".260","75.4%","3.32","","","","","","","","","","","21.4","318.6","21.4","2.5","","","","-0.77","-25.74","24.97","17.22","1.91","1.13","1.21","1.49","1.58","82","2.35","-3.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62","41","81","93","","15.6%","10.2%","","","-0.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1","1.7","0.0","1.7","21 - 35","5.3%","","","","","","","3.54","27.1%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113","117","90","87","72","91","96","94","104","115","119","","","","","","","","","","","","","","","","","","0"
"Angels","28","21","18","2.91","193","0","0","0","33","","374.1","1593","333","151","121","26","159","27","12","4","3","199","","","","","","","","","","","","4.78","3.82","1.25","8.01","0.63",".234","1.31",".256","75.5%","3.80","","","","","","","","","","","6.0","372.0","6.0","0.7","","","","0.26","-27.97","28.23","7.51","0.80","1.07","1.10","1.46","1.67","74","1.58","-1.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","53","80","102","","12.5%","10.0%","","","-0.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","2.3","0.5","2.9","24 - 32","2.5%","","","","","","","3.88","24.1%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106","118","88","90","83","92","97","93","105","106","118","","","","","","","","","","","","","","","","","","0"
"Pirates","29","26","24","2.92","272","0","0","0","44","","429.0","1849","393","172","139","24","188","38","9","12","2","279","","","","","","","","","","","","5.85","3.94","1.48","8.24","0.50",".238","1.35",".274","75.1%","3.39","","","","","","","","","","","23.6","426.2","23.6","2.7","","","","1.95","-35.87","37.81","21.76","2.06","1.21","1.31","1.57","1.71","142","0.62","0.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","61","80","94","","15.1%","10.2%","","","-0.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.6","0.7","1.2","1.9","21 - 37","4.9%","","","","","","","3.59","26.6%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114","121","93","96","76","96","103","99","104","112","119","","","","","","","","","","","","","","","","","","0"
"Phillies","29","21","16","2.92","234","0","0","0","29","","382.1","1542","326","140","124","19","114","25","12","4","5","258","","","","","","","","","","","","6.07","2.68","2.26","7.67","0.45",".230","1.15",".270","73.3%","2.87","","","","","","","","","","","38.3","380.0","38.3","4.4","","","","-0.30","-23.73","23.43","38.55","3.97","0.85","0.87","0.93","0.86","110","3.61","-3.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55","34","80","80","","16.7%","7.4%","","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.6","1.0","-0.8","0.2","21 - 39","9.3%","","","","","","","3.06","25.4%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118","82","141","89","68","93","87","98","102","124","86","","","","","","","","","","","","","","","","","","0"
"Padres","27","19","21","3.15","265","0","0","0","55","","399.2","1680","345","156","140","18","167","36","5","12","7","265","","","","","","","","","","","","5.97","3.76","1.59","7.77","0.41",".229","1.28",".267","73.4%","3.14","","","","","","","","","","","30.3","395.7","30.3","3.5","","","","1.36","-29.48","30.83","4.77","0.80","1.11","1.15","1.30","1.22","124","0.66","0.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78","49","95","92","","15.8%","9.9%","","","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2","1.5","-1.8","-0.3","23 - 37","5.8%","","","","","","","3.48","26.8%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116","115","101","90","61","92","97","97","102","117","116","","","","","","","","","","","","","","","","","","0"
"Royals","29","20","17","3.19","208","0","0","0","33","","358.1","1526","326","150","127","28","137","22","10","11","3","181","","","","","","","","","","","","4.55","3.44","1.32","8.19","0.70",".236","1.29",".255","74.5%","3.82","","","","","","","","","","","7.4","356.0","7.4","0.9","","","","3.24","-24.51","27.74","13.14","1.44","1.04","1.23","1.69","1.87","99","0.84","2.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","40","84","102","","11.9%","9.0%","","","-0.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9","2.3","0.8","3.1","24 - 35","2.9%","","","","","","","3.83","22.7%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","106","92","92","94","93","96","92","104","100","106","","","","","","","","","","","","","","","","","","0"
"Athletics","26","26","19","3.25","271","0","0","0","29","","521.0","2253","540","226","188","37","195","40","9","10","4","264","","","","","","","","","","","","4.56","3.37","1.35","9.33","0.64",".264","1.41",".288","74.8%","3.67","","","","","","","","","","","25.8","518.9","25.8","2.8","","","","2.58","-35.54","38.13","2.89","0.33","1.00","1.12","1.52","1.59","135","-0.31","2.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","64","90","96","","11.7%","8.7%","","","-0.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2","-1.2","1.6","0.4","21 - 33","3.1%","","","","","","","3.81","22.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101","104","97","105","85","103","104","104","104","99","102","","","","","","","","","","","","","","","","","","0"
"Rangers","28","16","20","3.42","170","0","0","0","25","","321.1","1371","329","138","122","18","113","21","8","11","1","199","","","","","","","","","","","","5.57","3.16","1.76","9.21","0.50",".263","1.38",".301","73.5%","3.20","","","","","","","","","","","31.2","317.6","31.2","3.4","","","","0.47","-25.21","25.68","-1.61","-0.11","1.08","1.14","1.52","1.34","62","1.17","-0.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","39","90","86","","14.5%","8.2%","","","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","-1.8","1.0","-0.8","22 - 36","6.3%","","","","","","","3.42","24.1%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","123","97","122","103","67","103","102","109","102","123","97","","","","","","","","","","","","","","","","","","0"
"Yankees","28","23","20","3.42","188","0","0","0","36","","413.1","1753","392","176","157","32","145","20","12","13","0","230","","","","","","","","","","","","5.01","3.16","1.59","8.54","0.70",".246","1.30",".270","74.0%","3.62","","","","","","","","","","","26.6","409.6","26.6","2.9","","","","2.50","-29.66","32.16","18.94","2.18","1.06","1.11","1.34","1.15","65","-0.48","2.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","43","93","96","","13.1%","8.3%","","","-0.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3","1.1","0.2","1.3","22 - 36","4.9%","","","","","","","3.59","23.2%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111","97","113","96","93","96","96","98","103","111","97","","","","","","","","","","","","","","","","","","0"
"Tigers","26","20","20","3.43","157","0","0","0","21","","344.0","1471","316","152","131","25","150","16","8","21","1","223","","","","","","","","","","","","5.83","3.92","1.49","8.27","0.65",".241","1.35",".273","73.4%","3.61","","","","","","","","","","","27.0","341.2","27.0","2.9","","","","4.24","-24.92","29.15","25.10","2.60","1.11","1.20","1.44","1.34","56","1.65","2.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","48","88","92","","15.2%","10.2%","","","-0.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6","0.6","0.0","0.6","21 - 35","5.0%","","","","","","","3.58","27.1%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","129","121","106","93","87","94","100","99","102","128","120","","","","","","","","","","","","","","","","","","0"
