"Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","SIERA","RS/9","E-F","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","Age Rng","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","kwERA","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)","FRM","K/9+","BB/9+","K/BB+","H/9+","HR/9+","AVG+","WHIP+","BABIP+","LOB%+","K%+","BB%+","LD%+","GB%+","FB%+","HR/FB%+","Pull%+","Cent%+","Oppo%+","Soft%+","Med%+","Hard%+","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","Events","playerid"
"Al Levine","Angels","31","0","0","0.00","1","1","0","0","0","","4.0","15","3","0","0","0","0","0","0","0","0","2","","","","","","","","","","","","4.50","0.00","2.00","6.75","0.00",".200","0.75",".231","100.0%","2.13","","","","","","","","","1.7","4.0","","","1.7","0.2","","","","0.22","-0.11","0.33","2.12","0.21","1.04","1.00","0.87","0.92","1","0.18","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","44","","13.3%","0.0%","","","-2.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","0.1","0.0","0.1","31 - 31","13.3%","","","","","","","3.95","13.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","0","","70","0","74","50","77","144","85","0","","","","","","","","","","","","","","","","","","0","20"
"Mike Stanton","Yankees","32","0","0","0.00","1","1","0","0","0","","4.0","14","2","0","0","0","1","0","0","0","0","3","","","","","","","","","","","","6.75","2.25","3.00","4.50","0.00",".154","0.75",".200","100.0%","2.38","","","","","","","","","1.6","4.0","","","1.6","0.2","","","","0.18","-0.08","0.26","2.06","0.21","0.80","0.83","0.87","0.67","1","0.21","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","51","","21.4%","7.1%","","","-2.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","0.1","0.1","0.1","32 - 32","14.3%","","","","","","","3.83","28.6%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108","61","179","47","0","57","50","66","144","136","76","","","","","","","","","","","","","","","","","","0","849"
"Tanyon Sturtze","White Sox","28","0","0","0.00","1","1","0","0","0","","6.0","22","4","0","0","0","2","0","0","0","0","2","","","","","","","","","","","","3.00","3.00","1.00","6.00","0.00",".200","1.00",".222","100.0%","3.47","","","","","","","","","1.7","6.0","","","1.7","0.2","","","","0.38","-0.29","0.68","3.31","0.32","1.34","1.12","0.87","1.72","1","0.23","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","72","","9.1%","9.1%","","","-3.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.1","0.2","0.3","28 - 28","0.0%","","","","","","","5.55","18.2%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","81","60","62","0","74","67","74","144","58","97","","","","","","","","","","","","","","","","","","0","1230"
"Matt Perisho","Rangers","24","0","0","0.00","1","1","0","0","0","","6.0","19","2","0","0","0","0","0","0","0","0","12","","","","","","","","","","","","18.00","0.00","12.00","3.00","0.00",".105","0.33",".286","100.0%","-0.87","","","","","","","","","4.4","6.0","","","4.4","0.5","","","","0.36","-0.05","0.41","3.18","0.31","0.84","1.06","0.87","1.52","1","0.39","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","-16","","63.2%","0.0%","","","0.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.0","-0.1","0.0","24 - 24","63.2%","","","","","","","-2.03","63.2%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","289","0","","31","0","39","22","95","144","402","0","","","","","","","","","","","","","","","","","","0","1423"
"Juan Pena","Red Sox","22","2","0","0.69","2","2","0","0","0","","13.0","49","9","1","1","0","3","0","0","0","0","15","","","","","","","","","","","","10.38","2.08","5.00","6.23","0.00",".196","0.92",".290","91.7%","1.52","","","","","","","","","6.1","13.0","","","6.1","0.7","","","","0.72","-0.46","1.18","6.79","0.61","1.00","1.08","0.87","0.59","2","0.57","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","14","34","","30.6%","6.1%","","","-0.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","0.0","0.2","0.3","22 - 22","24.5%","","","","","","","2.61","36.7%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166","56","298","65","0","72","62","97","132","195","65","","","","","","","","","","","","","","","","","","0","1010149"
"Tony Armas Jr.","Expos","21","0","1","1.50","1","1","0","0","0","","6.0","28","8","4","1","0","2","1","0","2","0","2","","","","","","","","","","","","3.00","3.00","1.00","12.00","0.00",".308","1.67",".333","60.0%","3.47","","","","","","","","","1.5","6.0","","","1.5","0.2","","","","-0.19","-0.58","0.39","-0.93","-0.09","0.89","0.75","0.92","0.22","1","-0.14","-0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","33","75","","7.1%","7.1%","","","-1.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","-0.1","-0.1","-0.1","21 - 21","0.0%","","","","","","","5.55","14.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","80","56","130","0","117","115","113","85","42","75","","","","","","","","","","","","","","","","","","0","761"
"Ron Mahay","Athletics","28","1","0","1.80","1","1","0","0","0","","5.0","19","3","1","1","0","2","0","0","0","0","5","","","","","","","","","","","","9.00","3.60","2.50","5.40","0.00",".176","1.00",".250","80.0%","2.33","","","","","","","","","2.0","5.0","","","2.0","0.2","","","","0.18","-0.22","0.39","2.01","0.18","0.98","0.94","0.87","1.26","1","0.22","-0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","38","49","","26.3%","10.5%","","","-0.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","0.1","0.0","0.1","28 - 28","15.8%","","","","","","","3.65","36.8%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","144","97","149","56","0","65","67","83","115","167","112","","","","","","","","","","","","","","","","","","0","290"
"Reid Cornelius","Marlins","29","1","0","1.98","2","2","0","0","0","","13.2","52","10","3","3","0","3","0","0","1","0","8","","","","","","","","","","","","5.27","1.98","2.67","6.59","0.00",".204","0.95",".244","76.9%","2.62","","","","","","","","","4.6","13.2","","","4.6","0.5","","","","0.65","-0.51","1.16","5.16","0.52","1.05","1.08","0.89","1.08","2","0.48","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","45","57","","15.4%","5.8%","","","-0.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","0.2","0.0","0.2","29 - 29","9.6%","","","","","","","4.39","21.2%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","53","149","71","0","78","66","83","109","90","61","","","","","","","","","","","","","","","","","","0","1002634"
"Pedro Martinez","Red Sox","27","22","4","2.07","29","29","5","1","0","","208.1","816","157","55","48","8","36","1","8","6","0","306","","","","","","","","","","","","13.22","1.56","8.50","6.78","0.35",".203","0.93",".325","76.9%","1.33","","","","","","","","","102.0","208.1","","","102.0","11.6","","","","6.48","-10.08","16.56","65.90","6.05","0.98","0.97","0.87","0.95","24","6.48","0.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","42","30","","37.5%","4.4%","","","0.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.8","-1.0","-0.8","-1.8","27 - 27","33.1%","","","","","","","1.57","42.9%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212","42","507","70","29","75","62","108","110","239","47","","","","","","","","","","","","","","","","","","0","200"
"Eric Gagne","Dodgers","23","1","1","2.10","5","5","0","0","0","","30.0","119","18","8","7","3","15","0","0","1","0","30","","","","","","","","","","","","9.00","4.50","2.00","5.40","0.90",".173","1.10",".211","86.8%","3.93","","","","","","","","","6.0","30.0","","","6.0","0.6","","","","0.62","-1.70","2.31","7.25","0.75","1.00","0.98","0.88","1.13","5","0.71","-0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","49","86","","25.2%","12.6%","","","-1.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","0.6","0.1","0.7","23 - 23","12.6%","","","","","","","4.03","40.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","134","121","112","58","80","66","76","72","122","148","133","","","","","","","","","","","","","","","","","","0","650"
