"Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","SIERA","RS/9","E-F","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","Age Rng","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","kwERA","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)","FRM","K/9+","BB/9+","K/BB+","H/9+","HR/9+","AVG+","WHIP+","BABIP+","LOB%+","K%+","BB%+","LD%+","GB%+","FB%+","HR/FB%+","Pull%+","Cent%+","Oppo%+","Soft%+","Med%+","Hard%+","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","Events","playerid"
"John Hiller","Tigers","33","1","0","0.00","1","1","1","1","0","","9.0","31","4","0","0","0","1","0","0","0","0","7","","","","","","","","","","","","7.00","1.00","7.00","4.00","0.00",".133","0.56",".174","100.0%","1.41","","","","","","","","","3.0","9.0","","","3.0","0.4","","","","0.36","-0.07","0.43","3.80","0.44","0.65","0.79","0.87","","0","0.50","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","38","","22.6%","3.2%","","","-1.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8","0.2","0.1","0.4","33 - 33","19.4%","","","","","","","1.71","25.8%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149","32","469","46","0","53","42","63","140","182","39","","","","","","","","","","","","","","","","","","0","1005817"
"Rick Sutcliffe","Dodgers","20","0","0","0.00","1","1","0","0","0","","5.0","17","2","0","0","0","1","0","0","0","0","3","","","","","","","","","","","","5.40","1.80","3.00","3.60","0.00",".125","0.60",".154","100.0%","2.03","","","","","","","","","1.3","5.0","","","1.3","0.2","","","","0.25","-0.12","0.37","1.92","0.23","0.90","1.01","0.87","1.33","1","0.21","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","59","","17.7%","5.9%","","","-2.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","0.2","0.0","0.2","20 - 20","11.8%","","","","","","","2.62","23.5%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109","56","196","42","0","50","45","56","140","136","69","","","","","","","","","","","","","","","","","","0","1012734"
"Grant Jackson","Yankees","33","2","0","0.56","2","2","1","1","0","","16.0","58","9","1","1","0","2","0","1","0","0","5","","","","","","","","","","","","2.81","1.13","2.50","5.06","0.00",".164","0.69",".180","91.7%","2.57","","","","","","","","","3.3","16.0","","","3.3","0.4","","","","0.28","-0.07","0.35","6.22","0.68","0.26","0.35","0.89","0.06","1","0.58","0.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","16","73","","8.6%","3.5%","","","-2.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1","0.5","0.2","0.7","33 - 33","5.2%","","","","","","","3.41","12.1%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","36","168","58","0","65","52","65","128","69","41","","","","","","","","","","","","","","","","","","0","1006298"
"Wayne Twitchell","Phillies","28","1","1","0.75","2","2","0","0","0","","12.0","49","12","5","1","0","3","0","0","1","0","13","","","","","","","","","","","","9.75","2.25","4.33","9.00","0.00",".261","1.25",".364","66.7%","1.22","","","","","","","","","4.2","12.0","","","4.2","0.5","","","","0.05","-0.85","0.91","-0.09","0.05","1.06","0.97","0.87","0.90","2","0.15","-0.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21","34","","26.5%","6.1%","","","-0.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","-0.3","-0.1","-0.4","28 - 28","20.4%","","","","","","","1.58","32.7%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197","70","283","104","0","105","95","131","93","204","72","","","","","","","","","","","","","","","","","","0","1013244"
"Larry Gura","Royals","28","1","0","1.20","2","2","1","1","0","","15.0","55","11","2","2","0","3","1","1","0","0","3","","","","","","","","","","","","1.80","1.80","1.00","6.60","0.00",".216","0.93",".229","86.7%","3.03","","","","","","","","","2.3","15.0","","","2.3","0.3","","","","0.34","-0.52","0.85","4.66","0.52","0.83","0.76","0.87","1.91","1","0.48","-0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","34","88","","5.5%","5.5%","","","-1.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8","0.2","0.3","0.6","28 - 28","0.0%","","","","","","","4.03","10.9%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","57","67","76","0","86","71","83","121","44","66","","","","","","","","","","","","","","","","","","0","1005150"
"Lerrin LaGrow","Cardinals","27","0","1","1.80","2","2","1","0","0","","15.0","63","14","3","3","0","4","1","1","1","1","5","","","","","","","","","","","","3.00","2.40","1.25","8.40","0.00",".241","1.20",".264","84.2%","2.97","","","","","","","","","2.3","15.0","","","2.3","0.3","","","","0.17","-1.11","1.28","3.70","0.41","1.32","1.07","0.87","0.48","1","0.29","-0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","51","88","","7.9%","6.4%","","","-1.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","0.0","0.3","0.4","27 - 27","1.6%","","","","","","","3.84","14.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","74","82","97","0","97","91","96","118","61","75","","","","","","","","","","","","","","","","","","0","1007255"
"Charlie Williams","Giants","28","1","0","1.80","3","3","0","0","0","","15.0","58","11","3","3","2","6","0","1","0","0","5","","","","","","","","","","","","3.00","3.60","0.83","6.60","1.20",".216","1.13",".205","98.7%","5.10","","","","","","","","","-1.1","15.0","","","-1.1","-0.1","","","","0.47","-0.74","1.21","4.12","0.44","0.95","1.06","0.87","0.92","3","0.33","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","51","149","","8.6%","10.3%","","","-3.30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","0.3","0.5","0.7","28 - 28","-1.7%","","","","","","","4.24","22.4%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","111","54","76","209","87","86","74","138","66","122","","","","","","","","","","","","","","","","","","0","1013980"
"Al Downing","Dodgers","35","0","1","2.14","3","3","0","0","0","","21.0","80","15","5","5","1","6","0","0","2","0","12","","","","","","","","","","","","5.14","2.57","2.00","6.43","0.43",".203","1.00",".230","81.6%","2.97","","","","","","","","","3.4","21.0","","","3.4","0.4","","","","0.46","-1.15","1.60","3.88","0.47","0.99","1.03","0.87","1.56","3","0.25","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","64","85","","15.0%","7.5%","","","-0.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","0.3","0.1","0.4","35 - 35","7.5%","","","","","","","3.13","23.8%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104","80","130","74","75","81","76","83","114","115","89","","","","","","","","","","","","","","","","","","0","1003450"
"Wilbur Wood","White Sox","34","4","3","2.24","7","7","5","1","0","","56.1","225","51","24","14","3","11","0","0","1","0","31","","","","","","","","","","","","4.95","1.76","2.82","8.15","0.48",".238","1.10",".267","65.7%","2.81","","","","","","","","","10.1","56.1","","","10.1","1.2","","","","0.65","-2.44","3.09","2.42","0.28","0.74","0.73","0.87","0.60","2","0.57","0.30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","63","81","","13.8%","4.9%","","","-0.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8","0.2","-0.6","-0.4","34 - 34","8.9%","","","","","","","2.96","20.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105","56","189","94","83","95","84","97","92","111","59","","","","","","","","","","","","","","","","","","0","1014248"
"Marty Pattin","Royals","33","7","6","2.24","15","15","4","1","0","","104.1","413","78","37","26","5","26","6","1","1","0","40","","","","","","","","","","","","3.45","2.24","1.54","6.73","0.43",".202","1.00",".214","69.4%","3.27","","","","","","","","","13.3","104.1","","","13.3","1.5","","","","0.84","-5.60","6.44","9.06","1.11","0.87","0.83","0.86","0.65","11","1.60","-0.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","63","95","","9.7%","6.3%","","","-1.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","1.8","-1.0","0.8","33 - 33","3.4%","","","","","","","3.62","17.2%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73","71","103","78","75","81","76","78","97","78","76","","","","","","","","","","","","","","","","","","0","1010074"
