"Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","SIERA","RS/9","E-F","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","Age Rng","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","kwERA","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)","FRM","K/9+","BB/9+","K/BB+","H/9+","HR/9+","AVG+","WHIP+","BABIP+","LOB%+","K%+","BB%+","LD%+","GB%+","FB%+","HR/FB%+","Pull%+","Cent%+","Oppo%+","Soft%+","Med%+","Hard%+","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","Events","playerid"
"Doc Medich","Yankees","23","0","0","0.00","1","1","0","0","0","","0.0","4","2","2","0","0","2","0","0","0","0","0","","","","","","","","","","","","0.00","18.00","0.00","18.00","0.00","1.000","4.00","1.000","50.0%","8.40","","","","","","","","","","","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","282","","0.0%","50.0%","","","-8.40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","0.0","23 - 23","-50.0%","","","","","","","10.03","50.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","427","","381","67","0","602","","","","","","","","","","","","","","","","","","0","1008714"
"Larry Gowell","Yankees","24","0","1","1.29","2","1","0","0","0","","7.0","24","3","1","1","0","2","0","0","0","0","7","","","","","","","","","","","","9.00","2.57","3.50","3.86","0.00",".136","0.71",".200","80.0%","1.26","","","","","","","","","","","","","2.0","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","38","","29.2%","8.3%","","","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","0.1","-0.1","0.0","24 - 24","20.8%","","","","","","","1.53","37.5%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164","83","198","48","0","58","58","76","107","198","100","","","","","","","","","","","","","","","","","","0","1004905"
"Bill Butler","Indians","25","0","0","1.54","6","2","0","0","0","","11.2","52","9","3","2","1","10","0","0","0","0","6","","","","","","","","","","","","4.63","7.71","0.60","6.94","0.77",".214","1.63",".229","90.9%","5.06","","","","","","","","","","","","","-1.2","-0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","153","","11.5%","19.2%","","","-3.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","0.1","0.3","0.4","25 - 25","-7.7%","","","","","","","4.96","32.7%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","249","34","87","121","92","132","87","121","78","232","","","","","","","","","","","","","","","","","","0","1001771"
"Steve Busby","Royals","22","3","1","1.58","5","5","3","0","0","","40.0","153","28","9","7","1","8","0","0","0","0","31","","","","","","","","","","","","6.98","1.80","3.88","6.30","0.23",".193","0.90",".239","78.0%","1.77","","","","","","","","","","","","","9.9","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","53","","20.3%","5.2%","","","-0.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","0.3","-0.2","0.0","22 - 22","15.0%","","","","","","","2.23","26.1%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127","58","219","79","35","82","73","91","104","138","63","","","","","","","","","","","","","","","","","","0","1001745"
"Luis Tiant","Red Sox","31","15","6","1.91","43","19","12","6","3","","179.0","713","128","45","38","7","65","5","0","0","0","123","","","","","","","","","","","","6.18","3.27","1.89","6.44","0.35",".198","1.08",".234","80.8%","2.62","","","","","","","","","","","","","29.6","3.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59","76","","17.3%","9.1%","","","-0.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2","1.3","0.3","1.6","31 - 31","8.1%","","","","","","","3.06","27.4%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112","105","107","81","55","84","88","89","108","117","110","","","","","","","","","","","","","","","","","","0","1013054"
"Gaylord Perry","Indians","33","24","16","1.92","41","40","29","5","1","","342.2","1345","253","79","73","17","82","16","12","11","0","234","","","","","","","","","","","","6.15","2.15","2.85","6.64","0.45",".202","0.98",".236","82.9%","2.50","","","","","","","","","","","","","63.8","8.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","74","","17.4%","6.1%","","","-0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.9","2.4","1.4","3.8","33 - 33","11.3%","","","","","","","2.68","24.8%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112","69","161","83","70","86","79","90","110","118","73","","","","","","","","","","","","","","","","","","0","1010210"
"Steve Carlton","Phillies","27","27","10","1.97","41","41","30","8","0","","346.1","1351","257","84","76","17","87","8","1","8","2","310","","","","","","","","","","","","8.06","2.26","3.56","6.68","0.44",".203","0.99",".256","81.3%","2.01","","","","","","","","","","","","","84.9","11.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","60","","23.0%","6.4%","","","-0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.0","1.4","0.5","1.9","27 - 27","16.5%","","","","","","","2.05","30.6%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143","70","202","79","61","84","77","94","111","154","76","","","","","","","","","","","","","","","","","","0","1001964"
"Gary Nolan","Reds","24","15","5","1.99","25","25","6","2","0","","176.0","689","147","48","39","13","30","5","1","5","0","90","","","","","","","","","","","","4.60","1.53","3.00","7.52","0.66",".223","1.01",".241","81.4%","2.86","","","","","","","","","","","","","24.3","2.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","90","","13.1%","4.4%","","","-0.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.3","1.5","0.9","2.4","24 - 24","8.7%","","","","","","","2.99","19.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","48","170","89","91","92","78","89","111","88","52","","","","","","","","","","","","","","","","","","0","1009616"
"Catfish Hunter","Athletics","26","21","7","2.04","38","37","16","5","0","","295.1","1148","200","74","67","21","70","6","3","3","0","191","","","","","","","","","","","","5.82","2.13","2.73","6.09","0.64",".186","0.91",".207","81.7%","2.77","","","","","","","","","","","","","37.5","4.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","91","","16.6%","6.1%","","","-0.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2","4.5","-0.8","3.7","26 - 26","10.5%","","","","","","","2.77","24.6%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106","69","154","76","101","79","74","79","109","113","73","","","","","","","","","","","","","","","","","","0","1006199"
"Jim Kaat","Twins","33","10","2","2.06","15","15","5","0","0","","113.1","443","94","36","26","6","20","2","0","2","0","64","","","","","","","","","","","","5.08","1.59","3.20","7.46","0.48",".222","1.01",".249","73.9%","2.49","","","","","","","","","","","","","20.5","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66","75","","14.5%","4.5%","","","-0.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4","0.4","-0.6","-0.2","33 - 33","9.9%","","","","","","","2.84","20.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","51","181","94","75","95","82","95","98","98","54","","","","","","","","","","","","","","","","","","0","1006660"
